Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Pclass,Age,SibSp,Parch,LogFare,Survived
0,1,0,1,0,0,3,-0.561307277,1,0,2.1102132,0
0,0,0,0,1,0,1,0.622595155,1,0,4.28059312,1
0,1,1,0,0,0,3,-0.265331669,0,0,2.188856328,1
0,1,0,0,1,0,1,0.400613449,1,0,3.990834186,1
0,1,0,1,0,0,3,0.400613449,0,0,2.202764758,0
1,0,0,1,0,0,3,-0.043349963,0,0,2.246892663,0
0,1,0,1,0,0,1,1.806497587,0,0,3.967694203,0
0,1,0,0,0,0,3,-2.041185317,3,1,3.094445746,0
0,1,0,0,1,0,3,-0.191337767,0,2,2.495953739,1
0,0,0,0,1,0,2,-1.153258493,1,0,3.436268471,1
0,1,1,0,0,0,3,-1.893197513,1,1,2.87356464,1
0,1,1,0,0,0,1,2.102473195,0,0,3.316002536,1
0,1,0,1,0,0,3,-0.709295081,0,0,2.202764758,0
0,1,0,1,0,0,3,0.696589057,1,5,3.474292937,0
0,1,1,0,0,0,3,-1.153258493,0,0,2.180891923,0
0,1,0,0,1,0,2,1.880491489,0,0,2.833213344,1
1,0,0,0,0,0,3,-2.041185317,4,1,3.405355392,0
0,1,0,1,0,0,2,0.622595155,0,0,2.63905733,1
0,1,0,0,1,0,3,0.104637841,1,0,2.944438979,0
0,0,0,0,1,0,3,-1.079264591,0,0,2.107178297,1
0,1,0,1,0,0,2,0.400613449,0,0,3.295836866,0
0,1,0,1,0,0,2,0.326619547,0,0,2.63905733,1
1,0,1,0,0,0,3,-1.079264591,0,0,2.20046377,1
0,1,0,1,0,0,1,-0.117343865,0,0,3.597312261,1
0,1,1,0,0,0,3,-1.597221905,3,1,3.094445746,0
0,1,0,0,1,0,3,0.622595155,1,5,3.477772546,1
0,0,0,1,0,0,3,-0.043349963,0,0,2.107178297,0
0,1,0,1,0,0,1,-0.783288983,3,2,5.575949103,0
1,0,1,0,0,0,3,-0.487313375,0,0,2.183711463,1
0,1,0,1,0,0,3,-0.487313375,0,0,2.185579255,0
0,0,0,0,0,1,1,0.770582959,0,0,3.357621599,0
0,0,0,0,1,0,1,-0.931276787,1,0,4.993969183,1
1,0,1,0,0,0,3,-0.191337767,0,0,2.1690537,1
0,1,0,1,0,0,2,2.694424411,0,0,2.442347035,0
0,0,0,1,0,0,1,-0.117343865,1,0,4.420896325,0
0,1,0,1,0,0,1,0.918570763,1,0,3.970291914,0
0,0,0,1,0,0,3,-0.487313375,0,0,2.107688805,1
0,1,0,1,0,0,3,-0.635301179,0,0,2.202764758,0
0,1,1,0,0,0,3,-0.857282885,2,0,2.944438979,0
0,0,1,0,0,0,3,-1.153258493,1,0,2.504848156,1
0,1,0,0,1,0,3,0.770582959,1,0,2.348991466,0
0,1,0,0,1,0,2,-0.191337767,1,0,3.091042453,0
0,0,0,1,0,0,3,0.992564665,0,0,2.185579255,0
0,0,1,0,0,0,2,-1.967191415,1,2,3.751365871,1
1,0,1,0,0,0,3,-0.783288983,0,0,2.183711463,1
0,1,0,1,0,0,3,-1.079264591,0,0,2.202764758,0
1,0,0,1,0,0,3,0.252625645,1,0,2.803360381,0
1,0,1,0,0,0,3,0.326619547,0,0,2.1690537,1
0,0,0,1,0,0,3,-0.339325571,2,0,3.121448205,0
0,1,0,0,1,0,3,-0.857282885,1,0,2.93385687,0
0,1,0,0,0,0,3,-1.671215807,4,1,3.70592092,0
